Source_nodes	Target_nodes	Score	Source
ADH4	UGT2B17	1	Kegg
ADH4	UGT2B28	1	Kegg
ADH4	UGT2B4	1	Kegg
ADH4	UGT2B7	1	Kegg
ADH5	ALDH3A1	1	Kegg
ADH5	ALDH3B1	1	Kegg
ADH5	UGT1A1	1	Kegg
ADH5	UGT1A10	1	Kegg
ADH5	UGT1A3	1	Kegg
ADH5	UGT1A4	1	Kegg
ADH5	UGT1A5	1	Kegg
ADH5	UGT1A6	1	Kegg
ADH5	UGT1A7	1	Kegg
ADH5	UGT1A8	1	Kegg
ADH5	UGT1A9	1	Kegg
ADH5	UGT2A1	1	Kegg
